alpha_deg,camber,thickness,CL,CD,L_over_D,NACA_label
-3.984930,0.047159,0.133350,1.393007,0.012614,110.432815,NACA 5413
-3.981962,0.048675,0.141727,1.425985,0.013034,109.406716,NACA 5414
-3.805334,0.048742,0.137097,1.424627,0.013029,109.346458,NACA 5414
-3.991597,0.054311,0.143918,1.497903,0.013868,108.009767,NACA 5414
-3.953919,0.046194,0.095684,1.344194,0.012495,107.574527,NACA 5410
-3.993548,0.054311,0.131598,1.473816,0.013738,107.284089,NACA 5413
-3.999271,0.055639,0.148988,1.510009,0.014106,107.047100,NACA 6415
-3.966538,0.085583,0.235566,1.754572,0.016416,106.880172,NACA 9424
-3.966538,0.085583,0.239969,1.762690,0.016524,106.673646,NACA 9424
-3.805334,0.048822,0.147617,1.446644,0.013602,106.357789,NACA 5415
-3.802129,0.043360,0.092288,1.295349,0.012237,105.857761,NACA 4409
-3.965158,0.042128,0.093032,1.264656,0.011948,105.845640,NACA 4409
-3.966538,0.079183,0.213081,1.702955,0.016177,105.269410,NACA 8421
-3.991184,0.059648,0.148866,1.518600,0.014472,104.933885,NACA 6415
-3.988499,0.060757,0.148866,1.521295,0.014617,104.078313,NACA 6415
-3.998154,0.058130,0.165026,1.552836,0.014978,103.674501,NACA 6417
-3.980632,0.039970,0.089117,1.196725,0.011612,103.061775,NACA 4409
-3.866554,0.040470,0.089051,1.216272,0.011836,102.760638,NACA 4409
-3.990845,0.064885,0.177775,1.608379,0.015773,101.970072,NACA 6418
-3.995722,0.063708,0.165026,1.570287,0.015421,101.825685,NACA 6417
-3.993531,0.038146,0.095244,1.141249,0.011233,101.594742,NACA 4410
-3.990679,0.038146,0.095244,1.141437,0.011237,101.578780,NACA 4410
-3.865273,0.065058,0.177775,1.609557,0.015897,101.247379,NACA 7418
-3.999823,0.035612,0.091178,1.043475,0.011004,94.824306,NACA 4409
-3.999865,0.033846,0.091178,0.973198,0.010810,90.027225,NACA 3409
-3.979201,0.032687,0.078722,0.932074,0.010617,87.787697,NACA 3408
-3.987680,0.032133,0.080578,0.908886,0.010448,86.988714,NACA 3408
-3.996006,0.030138,0.080391,0.815360,0.010046,81.162277,NACA 3408
-3.966538,0.029737,0.076538,0.804874,0.009981,80.640190,NACA 3408
-3.990581,0.028957,0.079241,0.761945,0.009797,77.774744,NACA 3408
-3.999941,0.028503,0.077558,0.742633,0.009667,76.818481,NACA 3408
-3.990581,0.027056,0.076618,0.676597,0.009437,71.695290,NACA 3408
-3.990581,0.025871,0.076528,0.621740,0.009239,67.298087,NACA 3408
-3.990581,0.025006,0.075551,0.584573,0.009060,64.522533,NACA 3408
-3.904083,0.023550,0.071906,0.534834,0.008817,60.658445,NACA 2407
-3.793199,0.022528,0.070771,0.501401,0.008724,57.472377,NACA 2407
-3.791922,0.021360,0.067901,0.454838,0.008576,53.037051,NACA 2407
-3.963920,0.021360,0.071695,0.429874,0.008334,51.582520,NACA 2407
-3.951741,0.020314,0.070845,0.385306,0.008178,47.117335,NACA 2407
-3.992412,0.019105,0.068467,0.331772,0.007966,41.646839,NACA 2407
